idx,spf,ppd,upc,uppcc,apt,deg
821,0.56,1.24,0.74,0.84,0.36,27.0
822,0.48,1.34,0.67,0.78,0.36,144.0
823,0.68,1.95,0.56,0.78,0.24,192.7
825,0.0,1.0,1.0,1.0,1.0,1.0
827,0.92,2.06,0.73,0.94,0.23,40.78
828,0.72,1.46,0.71,0.83,0.3,109.75
829,0.72,1.89,0.68,0.87,0.29,83.69
831,0.13,1.01,0.87,0.88,0.47,95.0
833,0.18,1.09,0.56,0.65,0.27,179.4
836,0.75,1.44,0.55,0.76,0.28,73.67
839,0.67,1.67,0.72,0.88,0.34,80.43
843,0.65,1.46,0.72,0.84,0.35,50.44
844,0.48,1.39,0.71,0.82,0.34,80.29
846,0.57,1.56,0.73,0.87,0.44,125.0
847,0.0,1.0,0.74,0.81,0.52,306.0
848,0.38,1.25,0.77,0.87,0.49,97.67
850,0.51,1.4,0.62,0.75,0.34,58.71
851,0.0,1.0,0.64,0.74,0.15,2.0
852,0.0,1.0,0.72,0.8,0.37,8.0
853,0.71,1.58,0.75,0.91,0.41,51.75
854,0.77,1.92,0.7,0.92,0.29,78.18
856,0.0,1.0,0.66,0.79,0.08,8.0
857,0.05,1.03,0.53,0.63,0.24,79.25
859,0.32,1.21,0.59,0.7,0.28,218.6
860,0.16,1.09,0.55,0.62,0.22,141.4
862,0.37,1.26,0.81,0.88,0.53,47.5
863,0.01,1.01,0.68,0.75,0.36,74.0
864,0.68,1.4,0.69,0.79,0.25,65.12
868,0.13,1.01,0.45,0.62,0.2,38.5
869,0.58,1.49,0.62,0.74,0.27,154.88
870,0.0,1.0,0.42,0.56,0.24,4.0
872,0.75,1.9,0.64,0.83,0.23,73.58
873,0.74,1.24,0.78,0.85,0.25,45.5
875,0.0,1.0,0.7,0.75,0.44,58.0
876,0.83,2.05,0.63,0.84,0.28,146.7
880,0.81,1.98,0.69,0.89,0.28,68.33
881,0.71,1.85,0.57,0.77,0.19,96.0
884,0.75,1.87,0.69,0.88,0.32,138.0
885,0.0,1.0,0.58,0.66,0.16,5.0
886,0.61,1.34,0.68,0.77,0.3,88.5
887,0.0,1.0,0.72,0.83,0.35,7.0
888,0.0,1.0,0.66,0.71,0.25,2.0
889,0.23,1.14,0.73,0.79,0.41,124.0
893,0.0,1.0,0.58,0.67,0.25,6.0
896,0.0,1.0,0.82,0.86,0.65,47.0
898,0.84,1.84,0.7,0.9,0.3,83.29
899,0.18,1.01,0.76,0.79,0.66,112.67
901,0.74,1.79,0.62,0.81,0.24,152.09
902,0.0,1.0,0.5,0.5,0.17,1.0
903,0.22,1.03,0.79,0.82,0.55,174.67
905,0.0,1.0,0.34,0.7,0.13,5.0
906,0.0,1.0,0.45,0.49,0.08,27.0
907,0.0,1.0,0.52,0.7,0.17,6.0
908,0.0,1.0,0.36,0.4,0.12,2.0
910,0.07,1.03,0.61,0.72,0.19,132.0
911,0.04,1.02,0.76,0.78,0.54,180.33
913,0.72,1.87,0.59,0.78,0.22,143.0
915,0.8,1.83,0.63,0.81,0.22,59.2
917,0.68,1.86,0.63,0.81,0.31,234.22
920,0.64,1.74,0.63,0.81,0.27,141.15
922,0.5,1.33,0.71,0.82,0.44,140.0
923,0.8,1.97,0.69,0.89,0.31,78.0
926,0.75,2.04,0.62,0.83,0.3,49.4
927,0.0,1.0,0.68,0.7,0.38,118.0
930,0.0,1.0,0.63,0.68,0.52,27.0
931,0.32,1.18,0.53,0.71,0.17,30.0
932,0.28,1.15,0.49,0.58,0.15,238.33
935,0.48,1.33,0.7,0.8,0.31,73.2
936,0.37,1.2,0.55,0.64,0.26,157.0
937,0.32,1.1,0.6,0.67,0.17,56.38
938,0.39,1.14,0.57,0.68,0.26,101.33
941,0.0,1.0,0.82,0.84,0.78,103.0
943,0.0,1.0,0.43,0.7,0.21,3.0
944,0.69,1.45,0.73,0.85,0.35,108.4
945,0.0,1.0,0.56,0.6,0.14,40.0
948,0.09,1.01,0.61,0.7,0.19,92.5
949,0.85,2.2,0.65,0.92,0.23,32.82
950,0.48,1.2,0.79,0.84,0.41,44.88
951,0.73,1.66,0.6,0.77,0.28,182.29
952,0.72,1.79,0.61,0.79,0.24,186.62
955,0.59,1.13,0.81,0.87,0.44,34.33
957,0.59,1.68,0.49,0.74,0.17,67.43
958,0.52,1.03,0.83,0.86,0.46,31.0
961,0.42,1.14,0.77,0.82,0.5,73.5
962,0.0,1.0,1.0,1.0,1.0,1.0
963,0.77,1.92,0.59,0.79,0.21,278.33
964,0.0,1.0,0.6,0.71,0.14,11.0
965,0.57,1.47,0.73,0.86,0.41,144.75
967,0.18,1.1,0.6,0.66,0.33,452.0
969,0.22,1.1,0.58,0.69,0.21,67.42
970,0.03,1.01,0.59,0.66,0.3,94.0
971,0.84,2.33,0.58,0.81,0.24,51.5
977,0.34,1.26,0.69,0.78,0.37,82.0
978,0.61,1.31,0.77,0.87,0.38,74.25
979,0.0,1.0,0.4,0.4,0.2,1.0
980,0.58,1.61,0.74,0.88,0.39,131.7
981,0.82,2.1,0.62,0.82,0.2,98.42
982,0.73,1.18,0.86,0.89,0.35,35.33
983,0.84,2.14,0.68,0.93,0.28,79.29
986,0.31,1.21,0.64,0.72,0.39,140.22
987,0.74,1.62,0.69,0.84,0.3,142.25
988,0.53,1.39,0.65,0.77,0.27,50.43
992,0.63,1.58,0.63,0.76,0.26,155.23
993,0.0,1.0,0.6,0.78,0.09,6.0
994,0.0,1.0,0.82,0.84,0.78,87.0
995,0.0,1.0,0.72,0.77,0.6,144.0
999,0.68,1.69,0.6,0.77,0.28,47.4
1000,0.63,1.36,0.74,0.85,0.42,127.5
1001,0.0,1.0,1.0,1.0,1.0,1.0
1007,0.0,1.0,0.75,0.79,0.53,156.0
1010,0.59,1.22,0.61,0.71,0.22,92.0
1011,0.71,1.87,0.69,0.86,0.31,133.07
1012,0.0,1.0,0.5,0.5,0.5,1.0
1014,0.0,1.0,0.5,0.5,0.5,1.0
1016,0.81,1.58,0.57,0.76,0.23,36.4
1017,0.77,1.97,0.64,0.84,0.26,49.81
1019,0.0,1.0,0.87,0.87,0.77,222.0
1020,0.06,1.02,0.58,0.61,0.45,21.5
1021,0.27,1.15,0.59,0.67,0.25,83.62
1022,0.0,1.0,0.57,0.67,0.12,63.0
1024,0.0,1.0,0.5,0.5,0.5,1.0
1027,0.56,1.43,0.75,0.89,0.36,76.0
1028,0.55,1.53,0.68,0.81,0.28,33.4
1030,0.81,1.84,0.65,0.85,0.27,51.55
1031,0.73,1.9,0.74,0.93,0.26,93.64
1033,0.74,1.97,0.65,0.86,0.25,81.42
1034,0.4,1.25,0.6,0.67,0.37,5.0
1035,0.18,1.1,0.56,0.68,0.29,16.5
1036,0.0,1.0,0.41,0.64,0.15,6.0
1039,0.18,1.09,0.75,0.81,0.54,102.17
1040,0.78,1.41,0.82,0.92,0.3,55.71
1042,0.82,2.03,0.55,0.74,0.15,136.0
1044,0.66,1.41,0.63,0.72,0.33,46.22
1045,0.31,1.17,0.72,0.81,0.48,208.5
1047,0.0,1.0,0.78,0.81,0.19,3.0
1048,0.7,1.62,0.7,0.85,0.25,53.65
1050,0.0,1.0,0.51,0.63,0.13,39.0
1051,0.45,1.23,0.69,0.78,0.35,185.5
1052,0.72,1.74,0.64,0.81,0.31,106.0
1054,0.69,1.43,0.63,0.78,0.38,61.5
1056,0.0,1.0,0.38,0.5,0.12,1.0
1058,0.0,1.0,0.83,0.83,0.17,1.0
1059,0.77,1.81,0.71,0.92,0.35,120.8
1061,0.67,1.35,0.59,0.71,0.21,51.0
1062,0.73,1.92,0.65,0.86,0.25,53.63
1064,0.5,1.11,0.82,0.87,0.4,76.0
1066,0.03,1.01,0.62,0.71,0.17,131.33
1067,0.0,1.0,0.63,0.7,0.17,15.0
1069,0.59,1.3,0.7,0.79,0.32,72.0
1070,0.62,1.39,0.65,0.76,0.33,128.0
1071,0.78,1.73,0.59,0.77,0.2,206.6
1072,0.59,1.58,0.71,0.84,0.34,66.57
1073,0.0,1.0,0.39,0.49,0.15,2.0
1074,0.0,1.0,0.5,0.5,0.06,1.0
1075,0.35,1.16,0.67,0.75,0.25,129.5
1076,0.0,1.0,0.4,0.4,0.4,1.0
1077,0.62,1.54,0.73,0.86,0.4,127.67
1078,0.34,1.22,0.84,0.88,0.56,105.67
1079,0.81,1.66,0.66,0.81,0.22,117.62
1082,0.01,1.0,0.72,0.76,0.48,113.0
1083,0.28,1.11,0.57,0.66,0.19,35.06
1084,0.0,1.0,0.65,0.74,0.58,6.0
1087,0.65,1.73,0.61,0.78,0.24,79.38
1088,0.8,2.08,0.61,0.84,0.26,103.89
1089,0.0,1.0,0.68,0.74,0.5,81.0
